item, expiry date, location
Milk,20 May,Titirangi
Milk,23 May,New Lynn
Milk,17 May,Titirangi
Milk,19 May,Waihiki
Bread (white),15 May,New Lynn
Bread (white),13 May,Waihiki
Bread (Brown),14 May,Silverdale
Eggs (12),30 May,Titirangi
Eggs (12),25 May,Waihiki
Eggs (12),28 May,Thames
Eggs (6),23 May,New Lynn
Eggs (6),26 May,Titirangi
Toblarone ,15 May,New Lynn
Olive Oil,28 December ,Silverdale
Olive Oil,30 November,Thames
Witterkers Chocklet (Dark Gahna),15 May,Titirangi
Butter (500g),16 May,New Lynn
Butter (500g)),14 May,Waihiki
Oats (rolled),25 May,Titirangi
Oats (whole),15 October,Thames
Apple bag,25 May,New Lynn
Fish,15 May,Titirangi
